Name,X,Y,Angle,Value,Package
C1,52.71,38.48,180.00,1uF,0402
C10,45.72,7.62,0.00,100uF,1210
C11,16.51,14.73,90.00,10uF,0402
C12,18.67,14.73,270.00,0.1uF,0402
C13,18.67,13.59,270.00,10uF,0402
C14,51.31,13.08,180.00,1uF,0402
C15,52.45,13.08,180.00,1uF,0402
C16,52.45,16.64,0.00,1uF,0402
C17,32.49,3.10,15.00,0.1uF,0402
C18,16.04,10.86,45.00,0.1uF,0402
C19,5.38,25.54,75.00,0.1uF,0402
C2,50.16,38.48,180.00,1uF,0402
C20,3.48,43.58,105.00,0.1uF,0402
C21,10.86,60.16,135.00,0.1uF,0402
C22,25.54,70.82,165.00,0.1uF,0402
C23,43.51,73.38,285.00,0.1uF,0402
C24,60.16,65.34,225.00,0.1uF,0402
C25,70.82,50.66,255.00,0.1uF,0402
C26,72.72,32.62,285.00,0.1uF,0402
C27,65.34,16.04,315.00,0.1uF,0402
C28,50.66,5.38,345.00,0.1uF,0402
C29,29.85,49.53,90.00,1nF,0402
C3,49.02,38.48,180.00,1uF,0402
C30,30.48,46.23,270.00,0.1uF,0402
C31,10.16,21.72,60.00,0.1uF,0402
C32,63.25,33.78,180.00,0.1uF,0402
C33,62.10,33.78,180.00,10uF,0402
C34,64.14,38.48,90.00,220pF,0402
C35,66.80,38.48,270.00,220pF,0402
C4,27.30,17.53,0.00,1nF,0402
C7,20.96,10.67,30.00,0.1uF,0402
C8,16.51,13.59,90.00,0.1uF,0402
C9,46.61,11.43,0.00,2.2uF,0603
D1,49.02,10.54,90.00,DIODE-1N4007FL,SOD-123FL
J2,38.10,4.41,0.00,USB2_C_RECEPTACLE-12402012E212A,12402012E212A
JP2,26.09,47.75,90.00,JUMPER-SMT_3_1-NC_TRACE_NO-SILK,SMT-JUMPER_3_1-NC_TRACE_NO-SILK
JP3,66.17,26.42,180.00,JUMPER-SMT_3_NO_NO-SILK,SMT-JUMPER_3_NO_NO-SILK
JP4,17.88,29.54,90.00,JUMPER-SMT_3_1-NC_TRACE_NO-SILK,SMT-JUMPER_3_1-NC_TRACE_NO-SILK
L1,44.96,11.43,0.00,120R,0603
L2,66.29,36.58,180.00,330R,0603
L3,64.64,36.58,180.00,330R,0603
LED1,28.59,2.62,15.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED10,73.58,28.59,285.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED11,64.07,12.13,315.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED12,47.61,2.62,345.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED2,12.13,12.13,45.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED3,2.62,28.59,75.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED4,2.62,47.61,105.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED5,12.13,64.07,135.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED6,28.59,73.58,165.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED7,47.61,73.58,195.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED8,64.07,64.07,225.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED9,73.58,47.61,255.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
R1,51.56,38.48,180.00,10k,0402
R10,21.34,24.38,0.00,1k,0402
R11,14.61,27.05,90.00,12k,0402
R12,12.45,27.05,270.00,12k,0402
R13,27.94,11.81,90.00,10k,0402
R14,27.43,7.49,90.00,10k,0402
R15,29.85,50.55,90.00,10k,0402
R16,54.36,38.48,180.00,4.7k,0402
R17,56.13,38.48,180.00,4.7k,0402
R18,35.94,46.74,180.00,22,0402
R19,62.74,31.37,270.00,1M,0402
R2,30.61,47.75,90.00,10k,0402
R20,9.53,22.73,240.00,10k,0402
R21,66.17,28.70,0.00,,0402
R3,28.70,17.53,0.00,10k,0402
R5,21.97,10.03,210.00,10k,0402
R6,40.39,11.43,180.00,5.1k,0402
R7,35.81,11.43,180.00,5.1k,0402
R8,18.67,24.38,0.00,1k,0402
R9,19.69,24.38,0.00,470,0402
SW3,19.99,6.73,30.00,BTN-MOM-EVQ-PUA02K,EVQ-PUA02K
SW4,6.73,19.99,60.00,BTN-MOM-EVQ-PUA02K,EVQ-PUA02K
T1,27.94,9.78,180.00,N-CHANNEL-TRANSISTOR,SOT23
U1,38.10,28.38,0.00,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1
U2,38.10,11.43,270.00,USBLC6-2SC6,SOT95P280X145-6N
U3,17.65,19.05,45.00,CP2102N-QFN28,IC_CP2102N-A02-GQFN28R
U4,13.46,29.34,0.00,NPN_TRANSISTORMMBT3904,SOT23
U5,13.46,24.77,180.00,NPN_TRANSISTORMMBT3904,SOT23
U6,57.28,14.86,90.00,VREG_LDO-AP2114HA-3.3TRG1,SOT-223_DIO
U8,65.91,32.77,90.00,MAX98357AETE+T,QFN50P300X300X80-17N
X1,33.53,46.99,180.00,OSCILLATOR-SIT8008AI,SIT8008AI-1X
